     Datum;      5 aus 50;   EZ;  Spieleinsatz; Anz. Kl. 1;   Quote Kl. 1; Anz. Kl. 2;   Quote Kl. 2; Anz. Kl. 3;   Quote Kl. 3; Anz. Kl. 4;   Quote Kl. 4; Anz. Kl. 5;   Quote Kl. 5; Anz. Kl. 6;   Quote Kl. 6; Anz. Kl. 7;   Quote Kl. 7; Anz. Kl. 8;   Quote Kl. 8; Anz. Kl. 9;   Quote Kl. 9;Anz. Kl. 10;  Quote Kl. 10;Anz. Kl. 11;  Quote Kl. 11;Anz. Kl. 12;  Quote Kl. 12
28.06.2022;50;23;29;10; 2; 3;10; 22.146.772,00;    Jackpot; 56.360.750,66;          1;    952.311,20;          6;     89.509,80;         22;      4.026,60;        387;        286,10;        824;        147,80;        787;        112,50;     12.153;         23,20;     16.549;         19,00;     34.728;         17,20;     62.376;         11,90;    234.856;          9,50
01.07.2022;34; 4;24;10;35; 8; 7; 46.681.668,00;    Jackpot; 65.784.308,74;          4;    501.827,90;          4;    283.007,60;         23;      8.118,50;        664;        351,50;      1.689;        152,00;      1.332;        140,10;     24.600;         24,10;     35.032;         19,10;     65.606;         19,10;    133.136;         11,80;    532.782;          8,80
05.07.2022;28;16;43; 7;36;11; 2; 26.744.964,00;    Jackpot; 72.759.199,12;          7;    164.290,40;         15;     43.237,60;         23;      4.651,20;        518;        258,10;        876;        167,90;      1.397;         76,50;     11.517;         29,60;     18.765;         20,30;     48.156;         15,00;     59.797;         15,00;    257.404;         10,50
08.07.2022;10;36;30; 6;22;10; 8; 53.975.660,00;    Jackpot; 83.696.115,60;          5;    464.190,60;          8;    163.613,70;         71;      3.040,80;      1.022;        264,00;      1.874;        158,40;      2.217;         97,30;     25.947;         26,50;     41.876;         18,30;     88.143;         16,50;    132.435;         13,70;    570.120;          9,60
12.07.2022;30; 3;26;16;47; 2; 1; 35.444.944,00;    Jackpot; 92.524.496,32;          5;    340.524,60;          2;    340.524,60;         17;      8.339,90;        558;        317,60;      1.083;        180,00;      1.272;        111,40;     15.914;         28,30;     24.088;         20,90;     54.734;         17,40;     87.392;         13,60;    348.168;         10,30
15.07.2022; 9;19;16;32;11; 3; 5; 73.550.162,00;    Jackpot;107.385.756,86;          4;    790.664,20;         12;    148.632,60;         87;      3.381,60;      1.452;        253,20;      3.741;        108,10;      2.875;        102,30;     50.806;         18,40;     64.903;         16,10;    124.085;         16,00;    247.010;         10,00;    894.123;          8,30
19.07.2022;23;37;43;24;20;10; 9; 57.436.778,00;    Jackpot;120.000.000,00;          4;    891.788,00;          9;    154.760,20;         40;      5.743,60;        875;        328,20;      1.813;        174,20;      1.950;        117,80;     25.789;         28,30;     39.799;         20,50;     88.606;         17,50;    136.298;         14,20;    587.714;          9,90
22.07.2022; 1;17;19;11;33; 7; 3; 95.412.262,00;          1;120.000.000,00;          8;  2.985.189,10;         18;    128.541,50;        201;      1.898,70;      2.033;        234,60;      7.207;         81,80;      3.861;         81,80;     90.352;         15,00;     87.765;         15,00;    165.165;         15,00;    419.953;          8,20;  1.148.078;          8,20
26.07.2022; 2; 7; 1;24;25; 2; 5; 22.056.512,00;    Jackpot; 10.000.000,00;          5;    189.686,00;          3;    178.290,10;         30;      2.940,80;        545;        202,30;      1.248;         97,20;        984;         89,60;     15.809;         17,70;     20.779;         15,10;     39.450;         15,00;     72.628;         10,20;    266.953;          8,30
29.07.2022;26;29;46;50;14;11;10; 39.316.574,00;    Jackpot; 17.076.983,32;          2;    845.306,30;          7;    136.203,80;         13;     12.097,40;        492;        399,50;        761;        284,10;      1.245;        126,30;     10.695;         46,80;     21.040;         26,60;     59.755;         20,40;     56.802;         20,40;    304.960;         13,00
02.08.2022;40;39;47; 6;11; 8; 7; 21.737.254,00;    Jackpot; 22.136.838,62;          2;    467.350,90;          5;    105.425,60;         13;      6.688,30;        297;        365,90;        655;        182,50;        614;        141,60;     10.474;         26,40;     14.061;         22,00;     28.434;         20,60;     59.878;         12,20;    222.373;          9,90
05.08.2022;31;49;10;17;12; 8; 2; 41.931.678,00;    Jackpot; 30.672.931,74;          7;    257.580,30;         11;     92.440,20;         43;      3.900,60;        748;        280,20;      2.065;        111,60;      1.525;        109,90;     30.026;         18,00;     32.536;         18,00;     67.289;         16,80;    157.898;          9,00;    465.797;          9,00
09.08.2022;36;40;44;26;23; 5;10; 22.818.864,00;    Jackpot; 36.733.366,82;          1;    981.211,10;          2;    276.678,70;         13;      7.021,10;        330;        345,70;        760;        165,10;        690;        132,20;     11.899;         24,40;     14.507;         22,40;     33.343;         18,40;     63.866;         12,00;    217.300;         10,60
